"Timestamp","n_mints","trick_or_treat","archie_girls","the_dress","imitation","friday_or_saturday"
2015-10-23 10:08:08,4,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:09:03,7,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:09:27,3,FALSE,"Betty",NA,"Lazily flattering someone",NA
2015-10-23 10:09:30,3,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 10:10:11,53,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:11:27,6,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 10:11:45,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:11:54,3,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 10:12:07,7,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:12:30,4,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 10:12:35,53,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:14:04,7,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:14:13,5,FALSE,"Veronica",NA,"Lazily flattering someone",NA
2015-10-23 10:14:24,8,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 10:14:59,5,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 10:15:55,7,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:16:37,3,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:17:54,14,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 10:18:18,14,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 10:19:01,6,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 10:19:09,9,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:19:26,3,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:19:30,7,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 10:21:29,3,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:21:43,4,FALSE,"???","Blue and black","Lazily flattering someone",NA
2015-10-23 10:22:11,3,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 10:23:31,17,FALSE,"Veronica",NA,"Laziness",NA
2015-10-23 10:23:32,13,FALSE,"Betty","White and gold","Laziness",NA
2015-10-23 10:24:49,36,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:25:20,12,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:25:37,4,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:25:40,17,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:26:40,3,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:27:51,43,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:27:55,33,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:28:21,6,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:28:46,16,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:29:24,4,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 10:29:53,17,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 10:30:35,4,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:31:06,7,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:32:03,5,FALSE,"Veronica",NA,"Lazily flattering someone",NA
2015-10-23 10:32:28,3,FALSE,"Veronica","White and gold","Flattery",NA
2015-10-23 10:33:53,8,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 10:34:20,5,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:34:47,5,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:35:01,3,FALSE,"Veronica",NA,NA,NA
2015-10-23 10:35:45,24,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 10:36:35,2,FALSE,"Betty","White and gold","Laziness",NA
2015-10-23 10:37:03,4,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 10:37:15,11,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:38:46,2,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 10:39:00,23,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 10:39:19,3,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 10:39:26,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:39:48,3,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 10:39:56,4,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 10:40:08,9,FALSE,"Veronica","White and gold","Lazily flattering someone",NA
2015-10-23 10:41:11,2,FALSE,"Betty","Blue and black","Laziness",NA
2015-10-23 10:41:39,6,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 10:41:59,7,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:42:48,4,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:43:07,6,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:44:35,17,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 10:45:03,7,FALSE,"Betty","Blue and black","Flattery",NA
2015-10-23 10:45:07,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:46:12,6,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:48:50,5,FALSE,"Betty","White and gold","Lazily flattering someone",NA
2015-10-23 10:49:29,5,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:50:15,5,FALSE,"Veronica","Blue and black","Laziness",NA
2015-10-23 10:50:22,12,FALSE,"Betty",NA,"Laziness",NA
2015-10-23 10:50:52,54,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
2015-10-23 10:52:25,1,FALSE,"Betty","White and gold","Flattery",NA
2015-10-23 10:52:30,4,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:52:38,3,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:53:07,3,FALSE,"???","White and gold","Flattery",NA
2015-10-23 10:53:27,12,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:54:17,27,FALSE,"???","White and gold","Lazily flattering someone",NA
2015-10-23 10:54:50,3,FALSE,"Veronica","Blue and black","Flattery",NA
2015-10-23 10:56:03,2,FALSE,"Betty","White and gold","Laziness",NA
2015-10-23 10:56:30,6,FALSE,"Veronica","Blue and black","Lazily flattering someone",NA
2015-10-23 10:56:43,18,FALSE,"Betty","Blue and black","Lazily flattering someone",NA
