user,age
ID-1464,45
ID-1465,40
ID-1466,34
ID-1467,35
ID-1468,35
ID-1470,22
ID-1469,46
ID-1471,30
ID-1472,11
ID-1473,33
ID-1474,36
ID-1475,34
ID-1476,NA
ID-1477,30
ID-1478,33
ID-1479,NA
ID-1480,56
ID-1481,43
ID-1482,67
ID-1483,43
ID-1484,37
ID-1485,49
ID-1486,NA
ID-1487,46
ID-1488,23
ID-1489,44
ID-1490,31
ID-1491,44
ID-1492,41
ID-1493,NA
ID-1494,67
ID-1495,23
ID-1496,39
ID-1497,46
ID-1498,39
ID-1499,41
ID-1500,47
ID-1501,26
ID-1502,NA
ID-1503,58
ID-1504,62
ID-1505,37
ID-1506,NA
ID-1507,25
ID-1508,34
ID-1509,36
ID-1510,35
ID-1511,NA
ID-1512,45
ID-1513,42
ID-1514,57
ID-1515,46
ID-1516,57
ID-1517,38
ID-1518,32
ID-1519,29
ID-1520,42
ID-1521,34
ID-1522,41
ID-1523,39
ID-1524,14
ID-1525,33
ID-1526,60
ID-1527,46
ID-1528,49
ID-1529,27
ID-1530,50
ID-1531,36
ID-1532,51
ID-1533,35
ID-1534,31
ID-1535,47
ID-1536,70
ID-1537,52
ID-1538,62
ID-1539,43
ID-1540,NA
ID-1541,54
ID-1542,37
ID-1543,41
ID-1544,64
ID-1545,31
ID-1546,62
ID-1547,NA
ID-1548,33
ID-1549,36
ID-1550,30
ID-1551,51
ID-1552,37
ID-1553,41
ID-1554,49
ID-1555,20
ID-1556,52
ID-1557,31
ID-1558,NA
ID-1559,44
ID-1560,16
ID-1561,14
ID-1562,35
ID-1563,38
ID-1564,14
ID-1565,NA
ID-1566,NA
ID-1567,NA
ID-1568,NA
ID-1569,NA
ID-1570,57
ID-1571,38
ID-1572,27
ID-1573,36
ID-1574,51
ID-1575,53
ID-1576,46
ID-1577,50
ID-1578,NA
ID-1579,31
ID-1580,14
ID-1581,26
ID-1582,34
ID-1583,24
ID-1584,41
ID-1585,39
ID-1586,38
ID-1587,34
ID-1588,34
ID-1589,34
ID-1590,41
ID-1591,55
ID-1592,47
ID-1593,37
ID-1594,23
ID-1595,46
ID-1596,29
ID-1597,34
ID-1598,35
ID-1599,21
ID-1600,43
ID-1601,56
ID-1360,33
ID-1361,37
ID-1602,36
ID-1603,NA
ID-1604,34
ID-1605,29
ID-1606,34
ID-1607,35
ID-1608,28
ID-1609,56
ID-1610,20
ID-1611,35
ID-1612,62
ID-1613,54
ID-1614,15
