user,n_mints
ID-0718,20
ID-0719,5
ID-0720,4
ID-0721,0
ID-0722,6
ID-0723,12
ID-0725,0
ID-0726,4
ID-0727,2
ID-0724,5
ID-0728,3
ID-0729,17
ID-0730,2
ID-0731,2
ID-0732,4
ID-0733,16
ID-0734,14
ID-0735,18
ID-0736,4
ID-0737,5
ID-0738,16
ID-0739,23
ID-0740,11
ID-0741,0
ID-0742,7
ID-0743,6
ID-0744,0
ID-0745,42
ID-0746,34
ID-0747,5
ID-0748,3
ID-0749,13
ID-0750,5
ID-0751,5
ID-0752,4
ID-0753,5
ID-0754,6
ID-0755,5
ID-0756,3
ID-0757,5
ID-0758,5
ID-0759,3
ID-0760,5
ID-0761,5
ID-0762,4
ID-0763,0
ID-0764,1
ID-0765,2
ID-0766,67
ID-0767,7
ID-0768,7
ID-0769,42
ID-0770,5
ID-0771,3
ID-0772,3
ID-0773,8
ID-0774,NA
ID-0775,3
ID-0776,12
ID-0778,3
ID-0779,13
ID-0780,69
ID-0781,NA
ID-0777,0
ID-0782,12
ID-0783,6
ID-0784,452
ID-0785,2
ID-0786,3
ID-0787,14
ID-0788,3
ID-0789,0
ID-0790,4
ID-0791,4
ID-0792,6
ID-0793,23
ID-0794,5
ID-0795,3
ID-0796,23
ID-0797,6
ID-0798,34
ID-0799,5
ID-0800,42
ID-0801,13
ID-0802,71
ID-0803,NA
ID-0804,7
ID-0805,753
ID-0806,12
ID-0807,1
ID-0808,NA
ID-0809,5
ID-0810,0
ID-0811,3
ID-0812,42
ID-0813,23
ID-0814,23
ID-0815,0
ID-0816,6
ID-0817,7
ID-0818,0
ID-0819,0
ID-0820,3
ID-0821,7
ID-0822,4
ID-0823,42
ID-0824,16
ID-0825,6
ID-0826,10
ID-0827,5
ID-0828,12
ID-0829,4
ID-0830,7
ID-0831,12
ID-0832,4
ID-0833,10
ID-0834,5
ID-0835,7
ID-0836,5
ID-0837,234
ID-0838,3
ID-0839,2
ID-0840,9
ID-0841,2
ID-0842,0
ID-0843,0
ID-0844,3
ID-0845,0
ID-0846,5
ID-0847,57
ID-0848,7
ID-0849,6
ID-0850,3
ID-0851,4
ID-0852,5
ID-0853,17
ID-0854,3
ID-0855,NA
ID-0856,8
ID-0857,0
ID-0858,NA
ID-0859,14
ID-0860,NA
ID-0861,2
ID-0862,0
ID-0863,3
ID-0864,4
ID-0865,3
ID-0866,23
ID-0867,204333
ID-0868,3
ID-0869,3
ID-0870,5
ID-0871,42
ID-0872,2
ID-0873,12
ID-0874,3
ID-0875,0
ID-0876,NA
ID-0877,NA
ID-0878,NA
ID-0879,2
ID-0880,2
ID-0881,20
ID-0882,4
ID-0883,4
ID-0884,2
ID-0885,2
ID-0886,5
ID-0887,0
ID-0888,6
ID-0889,6
ID-0890,0
ID-0891,5
ID-0892,3
ID-0893,7
ID-0894,NA
ID-0895,5
ID-0896,8
ID-0897,4
ID-0898,5
ID-0899,37
ID-0900,4
ID-0901,3
ID-0902,NA
ID-0903,5
ID-0904,NA
ID-0905,42
ID-0906,2
ID-0907,11
ID-0908,0
ID-0909,NA
ID-0910,11
ID-0911,3
ID-0912,11
ID-0001,12
ID-0002,5
ID-0003,3
ID-0004,7
ID-0005,42
ID-0006,7
ID-0007,10
ID-0008,4
ID-0009,3
ID-0010,15
ID-0011,NA
ID-0012,4
ID-0013,0
ID-0014,4
ID-0015,3
ID-0016,4
ID-0017,3
ID-0018,10
ID-0019,2
ID-0020,7
ID-0021,13
ID-0022,7
ID-0023,NA
ID-0024,NA
ID-0025,3
ID-0026,32
ID-0027,3
ID-0028,8
ID-0029,5
ID-0030,22
ID-0031,0
ID-0032,43
ID-0033,5
ID-0034,7
ID-0035,0
ID-0036,NA
ID-0037,18
ID-0038,7
ID-0039,4
ID-0040,0
ID-0041,0
ID-0042,NA
ID-0043,NA
ID-0044,34
ID-0045,7
ID-0046,5
ID-0047,NA
ID-0048,NA
ID-0049,22
ID-0050,NA
ID-0051,6
ID-0052,12
ID-0053,13
ID-0054,0
ID-0055,NA
ID-0056,0
ID-0057,6
ID-0058,NA
ID-0059,0
ID-0060,22
ID-0061,1
ID-0062,17
ID-0063,0
ID-0064,8
ID-0065,5
ID-0066,NA
ID-0067,4
ID-0068,3
ID-0069,6
ID-0070,NA
ID-0071,NA
ID-0072,4
ID-0073,NA
ID-0074,5
ID-0075,33
ID-0076,4
ID-0077,6
ID-0078,NA
ID-0079,6
ID-0080,8
ID-0081,8
ID-0082,0
ID-0083,16
ID-0084,10
ID-0085,1
ID-0086,42
ID-0087,NA
ID-0088,0
ID-0089,3
ID-0090,12
ID-0091,6
ID-0092,4
ID-0093,4
ID-0094,7
ID-0095,17
ID-0096,NA
ID-0097,1
ID-0098,3
ID-0099,17
ID-0100,3
ID-0101,17
ID-0102,4
ID-0103,12
ID-0104,4
ID-0105,7
ID-0106,3
ID-0107,NA
ID-0108,11
ID-0109,32
ID-0110,2
ID-0111,9
ID-0113,42
ID-0114,17
ID-0115,8
ID-0116,4
ID-0117,3
ID-0118,15
ID-0119,0
ID-0120,NA
ID-0121,NA
ID-0122,15
ID-0123,15
ID-0124,NA
ID-0125,NA
ID-0126,5
ID-0127,3
ID-0128,3
ID-0129,23
ID-0112,8
ID-0130,5
ID-0131,3
ID-0132,3
ID-0133,16
ID-0134,12
ID-0135,4
ID-0136,0
ID-0137,150
ID-0913,3
ID-0914,0
ID-0915,0
ID-0916,53
ID-0917,8
ID-0918,4
ID-0919,5
ID-0920,6
ID-0921,17
ID-0922,NA
ID-0923,0
ID-0924,457136
ID-0925,4
ID-0926,3
ID-0927,2
ID-0928,7
ID-0929,NA
ID-1056,3
ID-1057,0
ID-1058,5
ID-1059,3
ID-1060,0
ID-1061,7
ID-1062,13
ID-1063,NA
ID-1064,0
ID-1065,3
ID-1066,8
ID-1067,5
ID-1068,7
ID-1069,2
ID-1070,3
ID-1071,5
ID-1072,6
ID-1073,3
ID-1074,3
ID-1075,4
ID-1076,42
ID-1077,36
ID-1078,6
ID-1079,5
ID-1080,2
ID-1081,4
ID-1082,8
ID-1083,5
ID-1084,6
ID-1085,3
ID-1086,1
ID-1087,NA
ID-1088,4
ID-1089,2
ID-1090,7
ID-1091,5
ID-1092,4
ID-1093,23
ID-1094,7
ID-1095,7
ID-1096,6
ID-1097,3
ID-1098,12
ID-1099,3
ID-1100,3
ID-1101,14
ID-1102,6
ID-1103,7
ID-1104,4
ID-1105,5
ID-1106,78
ID-1107,3
ID-1108,14
ID-1109,3
ID-1110,6
ID-1111,5
ID-1112,6
ID-1113,NA
ID-1114,NA
ID-1115,4
ID-1116,17
ID-1117,7
ID-1118,5
ID-1119,42
ID-1120,7
ID-1121,1
ID-1122,3
ID-1123,0
ID-1124,93
ID-1125,NA
ID-1126,NA
ID-1127,NA
ID-1128,14
ID-1129,17
ID-1130,10
ID-1131,9
ID-1132,7
ID-1133,0
ID-1134,2
ID-1135,3
ID-1136,27
ID-1137,NA
ID-1138,3
ID-1139,3
ID-1140,42
ID-1141,3
ID-1142,3
ID-1143,62
ID-1144,4
ID-1145,3
ID-1146,18
ID-1147,0
ID-1148,7
ID-1149,NA
ID-1150,1
ID-1151,3
ID-1152,3
ID-1153,3
ID-1154,7
ID-1155,27
ID-1156,5
ID-1157,0
ID-1158,NA
ID-1159,NA
ID-1160,8
ID-1161,5236
ID-1162,3
ID-1163,NA
ID-1164,NA
ID-1165,NA
ID-1166,10
ID-1167,19
ID-1168,3
ID-1169,4
ID-1170,9
ID-1171,3
ID-1172,8
ID-1173,14
ID-1174,3
ID-1175,7
ID-1176,0
ID-1177,1
ID-1178,7
ID-1179,5
ID-1180,5
ID-1181,13
ID-1182,32
ID-1183,37
ID-1184,6
ID-1185,4
ID-1186,0
ID-1187,7
ID-1188,8
ID-1189,NA
ID-1190,18
ID-1191,14
ID-1192,17
ID-1193,5
ID-1194,3
ID-1195,2
ID-1196,5
ID-1197,47
ID-1198,0
ID-1199,13
ID-1200,8
